9:15
     MDDELAY     3876234         790         365      783294           950           1050           1050           950           1450           1900           6200         103000
  TOTALDELAY     1648372         450         245      849238           950           950           1050           950           950           1450           2400          10800
9:16
     MDDELAY    12538143        8800         360    28338721           950           1050           950           1450           1550           2600          12500         102000
  TOTALDELAY     5209463         520         250      177673           950           950           950           950           950           1450           2600          10200
DELAYWITHORDER       47782        1300         510       58023           1900           2100           1900           2100           2600           3600           8700          12300
9:17
     MDDELAY    11906351         740         390      149737           950           950           950           1450           1450           2100           6700          13000
  TOTALDELAY     5176550         480         265       20231           950           950           950           950           950           1450           2400          10300
DELAYWITHORDER       47015        1280         600       14005           1450           1900           2100           1900           2600           3400           8200          11200
9:18
     MDDELAY    13524229         780         320      139057           950           950           950           1450           1450           2600           5300          11300
  TOTALDELAY     6009360         470         265      101040           950           950           950           950           950           1450           2400           9200
DELAYWITHORDER       50210        1260         650       11781           1450           1900           1900           1900           2600           3400           8700          11200
9:19
     MDDELAY    16293435         740         380       92006           950           950           950           1450           1450           1900           5300          10800
  TOTALDELAY     7396442         460         265       69150           950           950           950           950           950           1450           1900           8700
DELAYWITHORDER       58274        1230         670       10628           1450           1450           1900           1900           1900           2900           7700          10200
9:20
     MDDELAY    15197730         790         400      127391           950           950           950           1450           1450           1900           4800          10800
  TOTALDELAY     6978083         460         265       13295           950           950           950           950           950           1450           1900           9200
DELAYWITHORDER       52467        1210         610       12223           1450           1450           1900           1900           1900           2900           8200          10200
9:21
     MDDELAY    15323416         730         380       77193           950           950           950           1450           1450           1900           4800           9700
  TOTALDELAY     7102966         450         265       15682           950           950           950           950           950           1450           1900           9200
DELAYWITHORDER       55022        1200         480       11038           1450           1450           1900           1900           1900           2900           7700          10700
9:22
     MDDELAY    14568229         790         360       70557           950           950           950           1450           1450           1900           4800           9700
  TOTALDELAY     6805972         460         265       13476           950           950           950           950           950           1450           1900           9200
DELAYWITHORDER       46803        1200         660       12258           1450           1450           1900           1900           1900           3400           7700          10700
9:23
     MDDELAY    14674832         800         390      136239           950           950           950           1450           1450           1900           4800          11300
  TOTALDELAY     6852558         460         260       47163           950           950           950           950           950           1450           1900           9200
DELAYWITHORDER       52277        1210         660       12018           1450           1450           1900           1900           1900           2900           7700          10700
9:24
     MDDELAY    13905083         780         380       57460           950           950           950           1450           1450           1900           4800           9700
  TOTALDELAY     6522860         460         265       21878           950           950           950           950           950           1450           1900           9200
DELAYWITHORDER       49706        1230         690       11669           1450           1450           1900           1900           1900           3400           8200          10700
9:25
     MDDELAY    14142349         790         400       86280           950           950           950           1450           1450           1900           5300          10800
  TOTALDELAY     6503667         460         265       15728           950           950           950           950           950           1450           1900           9200
DELAYWITHORDER       56647        1210         670       11429           1450           1450           1900           1900           1900           2900           7700          10200
9:26
     MDDELAY    13204512        6500         400    26500792           950           950           950           1450           1450           1900           7300         103000
  TOTALDELAY     6067890         460         265       29816           950           950           950           950           950           1450           1900           9200
DELAYWITHORDER       50023        1200         660       12577           1450           1450           1900           1900           1900           2900           8200          11200
9:27
     MDDELAY    12946008         710         380       30357           950           950           950           1450           1450           1900           4300           9700
  TOTALDELAY     5932452         460         260       16118           950           950           950           950           950           1450           1900           9700
DELAYWITHORDER       37639        1240         540       13982           1450           1900           1900           1900           1900           3400           8200          11200
9:28
     MDDELAY    12618112         790         390       53347           950           950           950           1450           1450           1900           4300           9700
  TOTALDELAY     5812390         450         265       16803           950           950           950           950           950           1450           1900           9200
DELAYWITHORDER       33012        1230         670       13747           1450           1450           1900           1900           1900           2900           7700          11200
9:29
     MDDELAY    12672778         710         370      171972           950           950           950           1450           1450           1900           4800           9700
  TOTALDELAY     5919024         450         265       19986           950           950           950           950           950           1450           1900           9200
DELAYWITHORDER       39275        1220         650       51739           1450           1450           1900           1900           1900           2900           8200          11200
9:30
     MDDELAY    12119468         780         390       54123           950           950           950           1450           1450           1900           4300           9700
  TOTALDELAY     5556236         450         265       18636           950           950           950           950           950           1450           1900           9200
DELAYWITHORDER       35339        1230         640       10718           1450           1900           1900           1900           1900           2900           6800          10700
9:31
     MDDELAY    12772747         720         380       62751           950           950           950           1450           1450           1900           4300           9700
  TOTALDELAY     5875284         460         265       30343           950           950           950           950           950           1450           1900           9200
DELAYWITHORDER       40008        1230         440       13290           1450           1450           1900           1900           1900           2900           6800          10700
9:32
     MDDELAY    11460439         770         370       50074           950           950           950           1450           1450           1900           4300           9200
  TOTALDELAY     5199437         460         265       15443           950           950           950           950           950           1450           1900           9200
DELAYWITHORDER       33438        1240         670       14578           1450           1900           1900           1900           1900           3400           6800          11200
9:33
     MDDELAY    11842161         770         370      136867           950           950           950           1450           1450           1900           4800           9700
  TOTALDELAY     5419941         460         260       23243           950           950           950           950           950           1450           1900           9700
DELAYWITHORDER       30254        1260         570       13136           1450           1900           1900           1900           2400           3400           8200          11200
9:34
     MDDELAY    14990653         780         330      162135           950           950           950           1450           1450           2400           5300          11200
  TOTALDELAY     7034484         470         265      168398           950           950           950           950           950           1450           2400           9700
DELAYWITHORDER       50888        1280         610       14449           1450           1900           1900           1900           2400           3400           7700          10700
9:35
     MDDELAY    12243263         720         310      181662           950           950           950           1450           1450           1900           5300          10700
  TOTALDELAY     5590753         470         265       52557           950           950           950           950           950           1450           2400           9700
DELAYWITHORDER       33310        1270         510       11447           1450           1900           1900           1900           2400           3400           8200          10200
