Metric,Percentile,stats_193 (ms),Difference (ms),Percent Change (%)
MDDELAY,75th Percentile,1489.13,456.52,44.21
MDDELAY,80th Percentile,1500.0,467.39,45.26
MDDELAY,85th Percentile,1500.0,184.78,14.05
MDDELAY,90th Percentile,1500.0,-10.87,-0.72
MDDELAY,95th Percentile,1500.0,-21.74,-1.43
MDDELAY,99th Percentile,1934.78,-423.91,-17.97
MDDELAY,999th Percentile,9663.04,-1706.52,-15.01
MDDELAY,9999th Percentile,13076.09,-1119.57,-7.89
TOTALDELAY,75th Percentile,500.0,0.0,0.0
TOTALDELAY,80th Percentile,500.0,0.0,0.0
TOTALDELAY,85th Percentile,571.43,71.43,14.29
TOTALDELAY,90th Percentile,988.1,404.76,69.39
TOTALDELAY,95th Percentile,1500.0,452.38,43.18
TOTALDELAY,99th Percentile,2976.19,666.67,28.87
TOTALDELAY,999th Percentile,3214.29,238.1,8.0
TOTALDELAY,9999th Percentile,3523.81,202.38,6.09
DELAYWITHORDER,75th Percentile,1222.22,-246.53,-16.78
DELAYWITHORDER,80th Percentile,1444.44,-86.81,-5.67
DELAYWITHORDER,85th Percentile,1500.0,-328.12,-17.95
DELAYWITHORDER,90th Percentile,1722.22,-387.15,-18.35
DELAYWITHORDER,95th Percentile,2166.67,-442.71,-16.97
DELAYWITHORDER,99th Percentile,3111.11,-3373.26,-52.02
DELAYWITHORDER,999th Percentile,15055.56,7555.56,100.74
DELAYWITHORDER,9999th Percentile,25555.56,11680.56,84.18
